Model,Params,ModelSizeMB,Precision,Recall,IoU,Dice,mAP50(M),mAP50-95(M),InferenceTimeMS,FPS,Notes
YOLO11n-seg + DySample g8_scope,2884043,5.824,0.9031,0.9066,0.8257,0.8924,0.9806,0.7430,86.7126,11.5323,Precision/Recall/IoU/Dice use unified pixel-level mask evaluation on the val set; mAP50(M)/mAP50-95(M) come from re-validating this model best.pt under the current local environment.
U-Net,7763041,29.6677,0.8848,0.7874,0.7142,0.8333,N/A,N/A,101.5396,9.8484,All metrics come from the controlled-setting U-Net experiment on the same dataset split and hardware; mAP is not reported for this segmentation baseline.
